"216","3","424","425","426","427","428","429","430","431","BLC","IMP","NUL","REC","hora_proceso","numero","url"
18,6,10,5,1,,6,80,59,41,6,0,8,0,"2023-04-20 11:25:01","1172","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1172/LEC.json"
22,0,9,6,3,,11,60,48,31,30,0,10,0,"2023-04-20 11:00:01","1173","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1173/LEC.json"
26,8,9,8,5,,15,73,40,47,10,0,4,0,"2023-04-20 12:25:01","1174","https://rionegro.datosoficiales.com/resultados/RN/1/2903/17/1174/LEC.json"
21,17,14,8,5,,13,51,51,48,10,0,12,0,"2023-04-20 12:25:01","1221","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1221/LEC.json"
35,9,10,11,2,,5,30,59,70,12,0,5,0,"2023-04-20 13:25:01","1222","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1222/LEC.json"
25,7,14,7,5,,11,50,62,52,14,0,6,0,"2023-04-20 13:00:01","1223","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1223/LEC.json"
19,9,19,6,2,,12,65,40,46,16,0,12,0,"2023-04-20 13:00:01","1224","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1224/LEC.json"
25,8,4,5,2,,7,62,52,70,21,0,0,0,"2023-04-20 13:00:01","1225","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1225/LEC.json"
21,10,9,6,5,,15,59,50,55,11,0,5,0,"2023-04-20 12:25:01","1226","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1226/LEC.json"
16,14,16,7,2,,11,53,55,48,18,0,4,0,"2023-04-20 13:00:01","1227","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1227/LEC.json"
28,15,11,2,2,,10,41,59,63,12,0,12,0,"2023-04-20 13:00:01","1228","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1228/LEC.json"
22,8,5,12,4,,13,45,61,38,12,0,16,0,"2023-04-20 13:25:01","1229","https://rionegro.datosoficiales.com/resultados/RN/1/2903/18/1229/LEC.json"
25,7,13,9,3,,8,55,63,52,18,0,11,0,"2023-04-20 13:25:01","1230","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1230/LEC.json"
26,13,7,9,2,,11,57,48,44,11,0,8,0,"2023-04-20 12:25:01","1231","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1231/LEC.json"
24,9,12,9,1,,11,63,44,58,3,0,10,0,"2023-04-20 12:25:01","1232","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1232/LEC.json"
20,23,12,7,1,,9,35,51,38,38,0,0,0,"2023-04-20 13:00:01","1233","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1233/LEC.json"
26,16,12,10,13,,7,43,47,58,10,0,5,0,"2023-04-20 13:00:01","1234","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1234/LEC.json"
25,8,14,7,2,,23,51,47,60,12,0,10,0,"2023-04-20 15:00:01","1235","https://rionegro.datosoficiales.com/resultados/RN/1/2903/19/1235/LEC.json"
