"165","166","205","419","420","421","422","BLC","COM","IMP","NUL","REC","hora_proceso","numero","url"
4,6,12,59,10,111,23,7,0,0,0,0,"2019-04-12 17:35:02","505","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/505/LRP.json"
7,5,4,47,9,110,34,8,0,0,6,0,"2019-04-12 17:35:02","506","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/506/LRP.json"
3,7,10,54,8,113,26,4,0,0,4,0,"2019-04-12 17:35:02","507","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/507/LRP.json"
3,4,5,55,10,125,26,4,0,0,3,0,"2019-04-12 17:35:02","508","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/508/LRP.json"
0,4,7,58,10,144,20,1,0,0,4,0,"2019-04-12 17:35:02","509","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/509/LRP.json"
4,7,3,70,9,110,23,8,0,0,7,0,"2019-04-12 17:35:02","510","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/510/LRP.json"
2,7,5,46,5,123,28,3,0,0,5,0,"2019-04-12 17:35:02","511","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/17/511/LRP.json"
3,1,10,51,14,96,41,8,0,0,0,0,"2019-04-12 17:35:02","512","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/512/LRP.json"
8,5,8,62,5,117,17,17,0,0,0,0,"2019-04-12 17:35:02","513","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/513/LRP.json"
0,0,2,76,11,107,28,15,0,0,0,0,"2019-04-12 17:35:02","514","https://www.jusrionegro.gov.ar/web/institucional/tribunal-electoral/resultados/2019/abril/resultados/RN/AND/41/18/514/LRP.json"
