"1","151","166","190","191","50","682","683","684","863","868","883","884","885","889","891","895","901","915","917","918","919","920","922","923","924","925","BLC","IMP","OBS","hora_proceso","numero","url"
3,5,5,43,67,6,15,9,4,1,4,4,9,23,2,2,5,5,3,2,4,4,7,6,8,5,6,5,0,0,"2023-09-03 18:40:01","36","https://plottier.datosoficiales.com/resultados/PL/757/36/CON.json"
5,9,6,40,44,6,22,16,5,4,3,6,3,26,2,8,9,10,5,2,3,2,5,9,7,6,1,10,0,1,"2023-09-03 18:40:01","57","https://plottier.datosoficiales.com/resultados/PL/758/57/CON.json"
0,10,3,36,60,5,20,14,3,9,11,2,7,23,5,3,2,11,3,5,4,0,7,9,8,2,3,8,0,0,"2023-09-03 19:30:01","58","https://plottier.datosoficiales.com/resultados/PL/758/58/CON.json"
5,14,2,43,49,4,21,4,8,9,10,3,7,13,2,6,5,9,7,4,3,1,8,6,9,2,7,10,0,0,"2023-09-03 18:40:01","59","https://plottier.datosoficiales.com/resultados/PL/758/59/CON.json"
0,8,1,37,54,7,20,9,6,1,6,3,8,17,1,7,7,6,9,6,5,3,10,5,6,2,4,11,0,0,"2023-09-03 18:40:01","60","https://plottier.datosoficiales.com/resultados/PL/758/60/CON.json"
0,15,5,38,53,5,27,6,5,2,13,5,5,25,4,7,7,4,9,5,4,2,9,3,9,4,0,6,0,0,"2023-09-03 18:40:01","61","https://plottier.datosoficiales.com/resultados/PL/758/61/CON.json"
0,8,2,39,42,5,16,5,8,2,14,4,10,17,6,2,6,6,8,5,4,4,11,6,8,4,4,8,0,0,"2023-09-03 18:40:01","62","https://plottier.datosoficiales.com/resultados/PL/758/62/CON.json"
1,5,4,50,46,5,19,9,6,0,4,8,3,26,3,4,8,10,5,3,5,4,4,3,7,3,4,7,0,0,"2023-09-03 18:40:01","63","https://plottier.datosoficiales.com/resultados/PL/758/63/CON.json"
1,8,5,41,46,5,20,9,10,5,9,2,5,20,1,4,6,6,15,2,3,2,16,5,7,3,6,15,0,0,"2023-09-03 18:40:01","64","https://plottier.datosoficiales.com/resultados/PL/758/64/CON.json"
2,12,6,35,52,8,10,9,5,4,11,3,12,20,4,3,5,11,4,4,8,4,13,6,4,4,3,15,0,1,"2023-09-03 18:40:01","65","https://plottier.datosoficiales.com/resultados/PL/758/65/CON.json"
0,15,4,33,45,7,16,7,3,2,6,7,5,25,5,0,9,11,10,4,4,1,16,7,9,7,5,10,0,1,"2023-09-03 18:40:01","66","https://plottier.datosoficiales.com/resultados/PL/758/66/CON.json"
4,12,5,34,35,5,22,13,11,3,9,6,6,27,5,4,3,5,4,10,6,2,9,5,4,2,2,7,0,1,"2023-09-03 18:50:01","67","https://plottier.datosoficiales.com/resultados/PL/759/67/CON.json"
5,17,6,38,39,3,23,6,4,1,7,5,7,13,7,5,6,8,3,5,4,3,7,10,1,2,5,12,0,0,"2023-09-03 18:50:01","68","https://plottier.datosoficiales.com/resultados/PL/759/68/CON.json"
2,13,4,33,37,2,17,6,4,4,9,4,9,11,3,5,4,14,3,1,6,4,7,7,11,6,2,12,0,0,"2023-09-03 18:50:01","69","https://plottier.datosoficiales.com/resultados/PL/759/69/CON.json"
1,13,3,47,41,7,12,15,5,5,8,7,2,14,6,1,7,12,3,5,2,0,13,1,6,3,6,11,0,0,"2023-09-03 18:50:01","70","https://plottier.datosoficiales.com/resultados/PL/759/70/CON.json"
3,5,4,33,30,5,22,5,10,2,8,3,12,19,5,7,5,10,5,11,2,2,15,8,8,5,2,9,0,0,"2023-09-03 18:50:01","71","https://plottier.datosoficiales.com/resultados/PL/759/71/CON.json"
6,16,1,33,50,4,26,4,5,3,7,4,6,21,1,2,6,13,9,7,8,5,4,6,13,5,5,6,0,0,"2023-09-03 18:50:01","72","https://plottier.datosoficiales.com/resultados/PL/759/72/CON.json"
3,4,5,35,38,4,29,6,7,5,8,2,5,17,1,3,7,10,14,7,7,1,5,8,5,1,5,16,0,0,"2023-09-03 18:50:01","73","https://plottier.datosoficiales.com/resultados/PL/759/73/CON.json"
1,12,1,39,34,8,18,10,3,2,6,5,11,20,6,3,7,6,7,9,4,1,7,10,8,4,2,9,0,1,"2023-09-03 18:50:01","101","https://plottier.datosoficiales.com/resultados/PL/760/101/CON.json"
2,13,5,27,32,3,21,2,13,7,6,7,4,11,9,4,10,8,5,4,5,1,15,10,4,2,6,8,0,0,"2023-09-03 18:40:01","102","https://plottier.datosoficiales.com/resultados/PL/760/102/CON.json"
3,5,12,21,50,9,18,6,3,1,2,6,8,32,4,5,11,7,2,7,1,4,11,6,9,2,6,7,0,0,"2023-09-03 18:45:01","103","https://plottier.datosoficiales.com/resultados/PL/760/103/CON.json"
0,8,5,33,57,5,20,7,4,2,4,4,8,25,3,9,10,5,7,6,3,1,9,7,5,3,3,13,0,0,"2023-09-03 18:45:01","104","https://plottier.datosoficiales.com/resultados/PL/760/104/CON.json"
2,8,0,35,45,3,18,6,6,3,11,2,2,25,9,5,3,4,4,8,1,0,11,4,5,4,6,9,0,0,"2023-09-03 18:40:01","105","https://plottier.datosoficiales.com/resultados/PL/760/105/CON.json"
3,8,3,28,32,10,17,5,7,7,5,7,15,27,4,6,9,5,4,3,2,5,7,6,12,3,5,10,0,0,"2023-09-03 18:40:01","106","https://plottier.datosoficiales.com/resultados/PL/760/106/CON.json"
4,13,4,31,32,6,18,8,2,3,5,6,9,22,6,4,2,2,5,15,4,2,8,8,4,4,4,15,0,0,"2023-09-03 18:40:01","107","https://plottier.datosoficiales.com/resultados/PL/760/107/CON.json"
6,18,3,40,38,11,12,6,1,3,6,5,7,27,1,6,7,5,10,7,3,1,10,4,3,4,7,6,0,0,"2023-09-03 18:40:01","108","https://plottier.datosoficiales.com/resultados/PL/760/108/CON.json"
2,8,3,22,41,7,20,2,6,3,6,6,6,16,3,9,3,7,0,4,2,0,11,5,7,0,4,4,0,0,"2023-09-03 18:40:01","109","https://plottier.datosoficiales.com/resultados/PL/761/109/CON.json"
0,8,7,21,26,10,16,9,8,4,4,7,1,14,1,5,3,4,4,8,7,1,9,6,15,0,4,8,0,0,"2023-09-03 18:40:01","110","https://plottier.datosoficiales.com/resultados/PL/761/110/CON.json"
1,9,3,28,32,11,20,5,8,6,4,3,2,22,0,3,10,6,4,6,6,2,7,4,3,1,4,7,0,0,"2023-09-03 18:40:01","111","https://plottier.datosoficiales.com/resultados/PL/761/111/CON.json"
4,11,2,18,49,11,17,7,5,3,5,5,5,14,1,5,8,11,5,5,4,0,18,2,5,3,4,10,0,0,"2023-09-03 18:40:01","112","https://plottier.datosoficiales.com/resultados/PL/761/112/CON.json"
2,8,4,13,31,6,13,12,8,8,9,4,5,16,2,4,3,7,4,5,8,1,8,5,6,2,4,8,0,0,"2023-09-03 18:50:01","113","https://plottier.datosoficiales.com/resultados/PL/761/113/CON.json"
