"clase_ubicacion","descripcion_ubicacion","id_ubicacion"
"Distrito","Córdoba","CO"
"Departamento","Capital","CO.1"
"Mesa","641","CO.1.548.373.641"
"Mesa","642","CO.1.548.373.642"
"Mesa","643","CO.1.548.373.643"
"Establecimiento","ESC IPEM N°181  BRIGADIER GRAL CORNELIO  SAAVEDRA","CO.1.548.374"
"Mesa","631","CO.1.548.374.631"
"Mesa","632","CO.1.548.374.632"
"Mesa","633","CO.1.548.374.633"
"Mesa","634","CO.1.548.374.634"
"Mesa","635","CO.1.548.374.635"
"Mesa","636","CO.1.548.374.636"
"Mesa","637","CO.1.548.374.637"
"Mesa","638","CO.1.548.374.638"
"Establecimiento","ESC GABRIELA MISTRAL","CO.1.548.375"
"Mesa","624","CO.1.548.375.624"
"Mesa","625","CO.1.548.375.625"
"Mesa","626","CO.1.548.375.626"
"Mesa","627","CO.1.548.375.627"
"Mesa","628","CO.1.548.375.628"
"Mesa","629","CO.1.548.375.629"
"Mesa","630","CO.1.548.375.630"
"Localidad","La Floresta Sud (Circ. 6E)","CO.1.549"
"Establecimiento","ESC NORMAL QUARTINO","CO.1.549.376"
"Mesa","648","CO.1.549.376.648"
"Mesa","649","CO.1.549.376.649"
"Mesa","650","CO.1.549.376.650"
"Mesa","651","CO.1.549.376.651"
"Establecimiento","ESC TRANSITO CACERES DE ALLEND","CO.1.549.377"
"Mesa","644","CO.1.549.377.644"
"Mesa","645","CO.1.549.377.645"
"Mesa","646","CO.1.549.377.646"
"Mesa","647","CO.1.549.377.647"
"Localidad","Yapeyu (Circ. 6F)","CO.1.550"
"Establecimiento","ESC R GÜIRALDES","CO.1.550.378"
"Mesa","652","CO.1.550.378.652"
"Mesa","653","CO.1.550.378.653"
"Mesa","654","CO.1.550.378.654"
"Mesa","655","CO.1.550.378.655"
"Mesa","656","CO.1.550.378.656"
"Mesa","657","CO.1.550.378.657"
"Mesa","658","CO.1.550.378.658"
"Mesa","659","CO.1.550.378.659"
"Mesa","660","CO.1.550.378.660"
"Mesa","661","CO.1.550.378.661"
"Mesa","662","CO.1.550.378.662"
"Mesa","663","CO.1.550.378.663"
"Establecimiento","ESC GDOR AMADEO SABATTINI","CO.1.550.379"
"Mesa","664","CO.1.550.379.664"
"Mesa","665","CO.1.550.379.665"
"Mesa","666","CO.1.550.379.666"
"Mesa","667","CO.1.550.379.667"
"Mesa","668","CO.1.550.379.668"
"Mesa","669","CO.1.550.379.669"
"Mesa","670","CO.1.550.379.670"
"Mesa","671","CO.1.550.379.671"
"Mesa","672","CO.1.550.379.672"
"Mesa","673","CO.1.550.379.673"
"Mesa","674","CO.1.550.379.674"
"Mesa","675","CO.1.550.379.675"
"Localidad","Aeropuerto (Circ. 7)","CO.1.551"
"Establecimiento","ESC JORGE NEWBERY (CIRC 7F)","CO.1.551.380"
"Mesa","676","CO.1.551.380.676"
"Localidad","Guiñazu (Circ. 7A)","CO.1.552"
"Establecimiento","ESC GREGORIA MATORRAS DE SAN MARTIN","CO.1.552.381"
"Mesa","691","CO.1.552.381.691"
"Mesa","692","CO.1.552.381.692"
"Mesa","693","CO.1.552.381.693"
"Mesa","694","CO.1.552.381.694"
"Mesa","695","CO.1.552.381.695"
"Mesa","696","CO.1.552.381.696"
"Establecimiento","ESC UNESCO","CO.1.552.382"
"Mesa","683","CO.1.552.382.683"
"Mesa","684","CO.1.552.382.684"
"Mesa","685","CO.1.552.382.685"
"Mesa","686","CO.1.552.382.686"
"Mesa","687","CO.1.552.382.687"
"Mesa","688","CO.1.552.382.688"
"Mesa","689","CO.1.552.382.689"
"Mesa","690","CO.1.552.382.690"
"Establecimiento","IPEM N° 22 JUAN FILLOY","CO.1.552.383"
"Mesa","677","CO.1.552.383.677"
"Mesa","678","CO.1.552.383.678"
"Mesa","679","CO.1.552.383.679"
"Mesa","680","CO.1.552.383.680"
"Mesa","681","CO.1.552.383.681"
"Mesa","682","CO.1.552.383.682"
"Localidad","Alta Cordoba (Circ. 7B)","CO.1.553"
